Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,5849.00,0.00,146.41,360.00,1.0,Urban,Y
LP001003,Male,Yes,1,Graduate,No,4583.00,1508.00,128.00,360.00,1.0,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,3000.00,0.00,66.00,360.00,1.0,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,2583.00,2358.00,120.00,360.00,1.0,Urban,Y
LP001008,Male,No,0,Graduate,No,6000.00,0.00,141.00,360.00,1.0,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,5417.00,4196.00,267.00,360.00,1.0,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,2333.00,1516.00,95.00,360.00,1.0,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,3036.00,2504.00,158.00,360.00,0.0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,4006.00,1526.00,168.00,360.00,1.0,Urban,Y
LP001020,Male,Yes,1,Graduate,No,12841.00,10968.00,349.00,360.00,1.0,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,3200.00,700.00,70.00,360.00,1.0,Urban,Y
LP001027,Male,Yes,2,Graduate,No,2500.00,1840.00,109.00,360.00,1.0,Urban,Y
LP001028,Male,Yes,2,Graduate,No,3073.00,8106.00,200.00,360.00,1.0,Urban,Y
LP001029,Male,No,0,Graduate,No,1853.00,2840.00,114.00,360.00,1.0,Rural,N
LP001030,Male,Yes,2,Graduate,No,1299.00,1086.00,17.00,120.00,1.0,Urban,Y
LP001032,Male,No,0,Graduate,No,4950.00,0.00,125.00,360.00,1.0,Urban,Y
LP001034,Male,No,1,Not Graduate,No,3596.00,0.00,100.00,240.00,1.0,Urban,Y
LP001036,Female,No,0,Graduate,No,3510.00,0.00,76.00,360.00,0.0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,4887.00,0.00,133.00,360.00,1.0,Rural,N
LP001041,Male,Yes,0,Graduate,No,2600.00,3500.00,115.00,342.00,1.0,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,7660.00,0.00,104.00,360.00,0.0,Urban,N
LP001046,Male,Yes,1,Graduate,No,5955.00,5625.00,315.00,360.00,1.0,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,2600.00,1911.00,116.00,360.00,0.0,Semiurban,N
LP001050,Male,Yes,2,Not Graduate,No,3365.00,1917.00,112.00,360.00,0.0,Rural,N
LP001052,Male,Yes,1,Graduate,No,3717.00,2925.00,151.00,360.00,1.0,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,9560.00,0.00,191.00,360.00,1.0,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,2799.00,2253.00,122.00,360.00,1.0,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,4226.00,1040.00,110.00,360.00,1.0,Urban,Y
LP001086,Male,No,0,Not Graduate,No,1442.00,0.00,35.00,360.00,1.0,Urban,N
LP001087,Female,No,2,Graduate,No,3750.00,2083.00,120.00,360.00,1.0,Semiurban,Y
LP001091,Male,Yes,1,Graduate,No,4166.00,3369.00,201.00,360.00,1.0,Urban,N
LP001095,Male,No,0,Graduate,No,3167.00,0.00,74.00,360.00,1.0,Urban,N
LP001097,Male,No,1,Graduate,Yes,4692.00,0.00,106.00,360.00,1.0,Rural,N
LP001098,Male,Yes,0,Graduate,No,3500.00,1667.00,114.00,360.00,1.0,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,12500.00,3000.00,320.00,360.00,1.0,Rural,N
LP001106,Male,Yes,0,Graduate,No,2275.00,2067.00,146.41,360.00,1.0,Urban,Y
LP001109,Male,Yes,0,Graduate,No,1828.00,1330.00,100.00,342.00,0.0,Urban,N
LP001112,Female,Yes,0,Graduate,No,3667.00,1459.00,144.00,360.00,1.0,Semiurban,Y
LP001114,Male,No,0,Graduate,No,4166.00,7210.00,184.00,360.00,1.0,Urban,Y
LP001116,Male,No,0,Not Graduate,No,3748.00,1668.00,110.00,360.00,1.0,Semiurban,Y
LP001119,Male,No,0,Graduate,No,3600.00,0.00,80.00,360.00,1.0,Urban,N
LP001120,Male,No,0,Graduate,No,1800.00,1213.00,47.00,360.00,1.0,Urban,Y
LP001123,Male,Yes,0,Graduate,No,2400.00,0.00,75.00,360.00,1.0,Urban,Y
LP001131,Male,Yes,0,Graduate,No,3941.00,2336.00,134.00,360.00,1.0,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,Yes,4695.00,0.00,96.00,342.00,1.0,Urban,Y
LP001137,Female,No,0,Graduate,No,3410.00,0.00,88.00,342.00,1.0,Urban,Y
LP001138,Male,Yes,1,Graduate,No,5649.00,0.00,44.00,360.00,1.0,Urban,Y
LP001144,Male,Yes,0,Graduate,No,5821.00,0.00,144.00,360.00,1.0,Urban,Y
LP001146,Female,Yes,0,Graduate,No,2645.00,3440.00,120.00,360.00,0.0,Urban,N
LP001151,Female,No,0,Graduate,No,4000.00,2275.00,144.00,360.00,1.0,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,1928.00,1644.00,100.00,360.00,1.0,Semiurban,Y
LP001157,Female,No,0,Graduate,No,3086.00,0.00,120.00,360.00,1.0,Semiurban,Y
LP001164,Female,No,0,Graduate,No,4230.00,0.00,112.00,360.00,1.0,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,4616.00,0.00,134.00,360.00,1.0,Urban,N
LP001186,Female,Yes,1,Graduate,Yes,11500.00,0.00,286.00,360.00,0.0,Urban,N
LP001194,Male,Yes,2,Graduate,No,2708.00,1167.00,97.00,360.00,1.0,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,2132.00,1591.00,96.00,360.00,1.0,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,3366.00,2200.00,135.00,360.00,1.0,Rural,N
LP001198,Male,Yes,1,Graduate,No,8080.00,2250.00,180.00,360.00,1.0,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,3357.00,2859.00,144.00,360.00,1.0,Urban,Y
LP001205,Male,Yes,0,Graduate,No,2500.00,3796.00,120.00,360.00,1.0,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,3029.00,0.00,99.00,360.00,1.0,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,2609.00,3449.00,165.00,180.00,0.0,Rural,N
LP001213,Male,Yes,1,Graduate,No,4945.00,0.00,146.41,360.00,0.0,Rural,N
LP001222,Female,No,0,Graduate,No,4166.00,0.00,116.00,360.00,0.0,Semiurban,N
LP001225,Male,Yes,0,Graduate,No,5726.00,4595.00,258.00,360.00,1.0,Semiurban,N
LP001228,Male,No,0,Not Graduate,No,3200.00,2254.00,126.00,180.00,0.0,Urban,N
LP001233,Male,Yes,1,Graduate,No,10750.00,0.00,312.00,360.00,1.0,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,7100.00,0.00,125.00,60.00,1.0,Urban,Y
LP001241,Female,No,0,Graduate,No,4300.00,0.00,136.00,360.00,0.0,Semiurban,N
LP001243,Male,Yes,0,Graduate,No,3208.00,3066.00,172.00,360.00,1.0,Urban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,1875.00,1875.00,97.00,360.00,1.0,Semiurban,Y
LP001248,Male,No,0,Graduate,No,3500.00,0.00,81.00,300.00,1.0,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,No,4755.00,0.00,95.00,342.00,0.0,Semiurban,N
LP001253,Male,Yes,3+,Graduate,Yes,5266.00,1774.00,187.00,360.00,1.0,Semiurban,Y
LP001255,Male,No,0,Graduate,No,3750.00,0.00,113.00,480.00,1.0,Urban,N
